step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
726,0.0,1.0,,
727,0.00023,1.0,,
728,0.0,1.0,,
729,1.69237,0.88889,,
730,0.0,1.0,,
731,0.0,1.0,,
732,2.11551,0.88889,,
733,1.30086,0.88889,,
734,0.0,1.0,,
735,0.0,1.0,,
736,1.88354,0.88889,,
737,0.44734,0.88889,,
738,1e-05,1.0,,
739,1.68855,0.88889,,
740,0.0,1.0,,
741,0.00236,1.0,,
742,0.0,1.0,,
743,0.61695,0.88889,,
744,0.0,1.0,,
745,0.0,1.0,,
746,0.0,1.0,,
747,0.0,1.0,,
748,1.20815,0.88889,,
749,0.0,1.0,,
750,0.0,1.0,,
751,3.42187,0.77778,,
752,1e-05,1.0,,
753,0.0,1.0,,
754,0.0,1.0,,
755,0.0,1.0,,
756,0.0,1.0,,
757,2.05033,0.88889,,
758,1.40781,0.88889,,
759,0.38545,0.88889,,
760,0.0,1.0,,
761,2.32776,0.77778,,
762,0.92557,0.88889,,
763,1.07564,0.88889,,
764,0.0,1.0,,
765,1.21212,0.77778,,
766,0.0,1.0,,
767,0.0,1.0,,
768,0.0,1.0,,
769,0.0,1.0,,
770,0.3653,0.88889,,
771,1.7347,0.88889,,
772,1.55301,0.88889,,
773,0.68266,0.88889,,
774,0.00017,1.0,,
775,0.62333,0.88889,,
776,1.09329,0.88889,,
777,1.70943,0.88889,,
778,0.80935,0.88889,,
779,0.44845,0.88889,,
780,0.0,1.0,,
781,0.00092,1.0,,
782,1.51656,0.88889,,
783,0.00043,1.0,,
784,2e-05,1.0,,
785,0.0,1.0,,
786,0.0,1.0,,
787,1.95967,0.88889,,
788,0.0,1.0,,
789,1.69673,0.88889,,
790,1.07298,0.88889,,
791,0.9243,0.88889,,
792,0.0,1.0,,
793,0.0,1.0,,
794,0.95877,0.88889,,
795,0.0,1.0,,
796,0.85408,0.88889,,
797,1e-05,1.0,,
798,7e-05,1.0,,
799,7e-05,1.0,,
800,0.0,1.0,,
801,1.11975,0.88889,,
802,1.07849,0.88889,,
803,0.0,1.0,,
804,0.0,1.0,,
805,0.0,1.0,,
806,0.0,1.0,,
807,0.0,1.0,,
808,0.0,1.0,,
809,0.0,1.0,,
810,1.62472,0.88889,,
811,0.0,1.0,,
812,0.0,1.0,,
813,0.01161,1.0,,
814,0.11008,0.88889,,
815,0.0,1.0,,
816,2.5045,0.77778,,
817,0.5172,0.88889,,
818,2.04396,0.88889,,
819,0.0,1.0,,
820,2e-05,1.0,,
821,2e-05,1.0,,
822,1.62156,0.88889,,
823,0.0,1.0,,
824,0.0,1.0,,
825,0.00011,1.0,,
826,0.0,1.0,,
827,0.0,1.0,,
828,2.57249,0.77778,,
829,2.13409,0.77778,,
830,0.0,1.0,,
831,0.0,1.0,,
832,0.25131,0.88889,,
833,0.93982,0.88889,,
834,0.3584,0.88889,,
835,0.0,1.0,,
836,1.73245,0.88889,,
837,0.0,1.0,,
838,1.09937,0.77778,,
839,0.0,1.0,,
840,0.0,1.0,,
841,1.98553,0.88889,,
842,0.0,1.0,,
843,0.03193,1.0,,
844,0.0,1.0,,
845,0.00052,1.0,,
846,7e-05,1.0,,
847,0.00217,1.0,,
848,0.63298,0.88889,,
849,0.0,1.0,,
850,0.0,1.0,,
851,0.0,1.0,,
852,0.0,1.0,,
853,1.05458,0.88889,,
854,0.0,1.0,,
855,1.25875,0.88889,,
856,0.00554,1.0,,
857,1.54537,0.88889,,
858,0.0,1.0,,
859,0.0,1.0,,
860,0.0,1.0,,
861,0.00075,1.0,,
862,0.20056,0.88889,,
863,0.06542,1.0,,
864,0.86584,0.88889,,
865,0.0,1.0,,
866,0.0,0.5,,
867,0.47266,0.88889,,
868,1.65146,0.88889,,
869,1.9034,0.77778,,
870,0.00089,1.0,,
871,0.0,1.0,,
872,0.0,1.0,,
873,0.0,1.0,,
874,0.87622,0.88889,,
875,0.0,1.0,,
876,1.86988,0.88889,,
877,1.29806,0.77778,,
878,0.02188,1.0,,
879,0.0,1.0,,
880,0.0,1.0,,
881,0.0,1.0,,
882,1.7471,0.88889,,
883,2.23566,0.77778,,
884,1.42953,0.88889,,
885,0.0,1.0,,
886,1.46694,0.88889,,
887,1.47709,0.88889,,
888,0.0,1.0,,
889,0.0,1.0,,
890,0.0,1.0,,
891,1.32624,0.88889,,
892,0.0,1.0,,
893,0.0,1.0,,
894,7e-05,1.0,,
895,2.13879,0.88889,,
896,0.0,1.0,,
897,1e-05,1.0,,
898,2e-05,1.0,,
899,1.66053,0.88889,,
900,1.6307,0.88889,,
901,5e-05,1.0,,
902,0.73155,0.88889,,
903,0.0,1.0,,
904,1e-05,1.0,,
905,0.0,1.0,,
906,0.0,1.0,,
907,4.0991,0.66667,,
908,0.0,1.0,,
909,0.0,1.0,,
910,0.0,1.0,,
911,1e-05,1.0,,
912,0.0,1.0,,
913,1.39197,0.88889,,
914,3.34044,0.77778,,
915,0.0,1.0,,
916,1.37076,0.88889,,
917,0.0,1.0,,
918,0.0,1.0,,
919,0.0,1.0,,
920,0.0,1.0,,
921,0.0,1.0,,
922,1e-05,1.0,,
923,1.8824,0.88889,,
924,0.0001,1.0,,
925,1.67218,0.88889,,
926,1.76529,0.88889,,
927,1.05101,0.88889,,
928,1.6923,0.88889,,
929,2.52946,0.77778,,
930,5e-05,0.5,,
931,0.0,1.0,,
932,2e-05,1.0,,
933,0.0,1.0,,
934,0.0,1.0,,
935,1.99946,0.77778,,
936,2.29997,0.88889,,
937,0.0,1.0,,
938,0.0,1.0,,
939,1.46028,0.88889,,
940,0.0,1.0,,
941,0.0,1.0,,
942,0.0,1.0,,
943,0.0,1.0,,
944,0.0,1.0,,
945,0.16807,0.88889,,
946,0.82764,0.88889,,
947,0.00093,1.0,,
948,1e-05,1.0,,
949,1.95792,0.88889,,
950,0.0,1.0,,
951,0.0,1.0,,
952,0.00068,1.0,,
953,0.00017,1.0,,
954,0.0,1.0,,
955,0.0,1.0,,
956,1.57476,0.88889,,
957,2.86252,0.77778,,
958,1.24916,0.88889,,
959,0.0,1.0,,
960,0.0,1.0,,
961,1e-05,1.0,,
962,0.0,1.0,,
963,0.0,1.0,,
964,1.09278,0.88889,,
965,0.0,1.0,,
966,0.0,1.0,,
967,1.6176,0.88889,,
968,0.0,1.0,,
969,2.14909,0.77778,,
970,0.0,1.0,,
971,1.32101,0.88889,,
972,0.0,1.0,,
973,1.34525,0.88889,,
974,1.44561,0.88889,,
975,0.28019,0.88889,,
976,0.0,1.0,,
977,0.0,1.0,,
978,1.59986,0.88889,,
979,0.0,1.0,,
980,0.93568,0.88889,,
981,0.0,1.0,,
982,0.0,1.0,,
983,0.0,1.0,,
984,1.17187,0.88889,,
985,0.0,1.0,,
986,0.0,1.0,,
987,0.0,1.0,,
988,0.00022,1.0,,
989,0.0,1.0,,
990,0.0,1.0,,
991,2.35138,0.77778,,
992,0.0,1.0,,
993,1.42965,0.88889,,
994,1.37297,0.88889,,
995,0.0,1.0,,
996,1.56756,0.88889,,
997,1.85482,0.91667,,
998,0.00072,1.0,,
999,0.0,1.0,,
1000,1e-05,1.0,,
1001,0.0,1.0,,
1002,0.0,1.0,,
1003,0.0,0.66667,,
1004,0.0,1.0,,
1005,0.0,1.0,,
1006,1.55617,0.77778,,
1007,1.7942,0.88889,,
1008,0.0,1.0,,
1009,0.0,1.0,,
1010,2.05281,0.88889,,
1011,0.0,1.0,,
1012,0.0,1.0,,
1013,0.0,1.0,,
1014,0.0,1.0,,
1015,0.0,1.0,,
1016,0.0,1.0,,
1017,0.0,1.0,,
1018,2e-05,1.0,,
1019,0.0,1.0,,
1020,0.0,1.0,,
1021,1e-05,1.0,,
1022,1.9191,0.88889,,
1023,1e-05,1.0,,
1024,0.0,1.0,,
1025,2.33127,0.88889,,
1026,0.0,1.0,,
1027,0.0,1.0,,
1028,0.0,1.0,,
1029,0.00028,1.0,,
1030,0.0002,1.0,,
1031,0.15084,0.88889,,
1032,1.89214,0.88889,,
1033,0.0,1.0,,
1034,0.00402,1.0,,
1035,0.0,0.66667,,
1036,0.07383,1.0,,
1037,1.77205,0.88889,,
1038,0.0,1.0,,
1039,0.0,1.0,,
1040,0.0,1.0,,
1041,0.0,1.0,,
1042,0.0,1.0,,
1043,0.45703,0.88889,,
1044,0.0,1.0,,
1045,0.0,1.0,,
1046,0.0,1.0,,
1047,1.48791,0.88889,,
1048,1.21493,0.88889,,
